"Date","Price","Open","High","Low","Vol.","Change %"
"12/21/2022","33.94","33.42","33.99","33.16","229.28K","1.10%"
"12/20/2022","33.57","33.10","33.70","32.78","277.50K","0.96%"
"12/19/2022","33.25","33.31","33.80","33.10","202.70K","-0.18%"
"12/16/2022","33.31","33.86","33.86","33.27","338.33K","-1.16%"
"12/15/2022","33.70","34.50","34.76","33.70","368.82K","-3.55%"
"12/14/2022","34.94","35.00","35.44","34.60","313.84K","0.03%"
"12/13/2022","34.93","34.21","35.30","33.90","310.82K","2.13%"
"12/12/2022","34.20","33.80","34.29","33.35","149.16K","0.62%"
"12/09/2022","33.99","34.20","34.30","33.74","103.33K","-0.50%"
"12/08/2022","34.16","34.60","34.84","33.85","124.37K","-1.27%"
"12/07/2022","34.60","34.20","35.04","33.71","133.44K","0.99%"
"12/06/2022","34.26","35.96","35.96","34.26","212.47K","-4.78%"
"12/05/2022","35.98","35.52","36.16","35.48","170.14K","1.01%"
"12/02/2022","35.62","35.80","35.80","35.15","165.74K","-0.92%"
"12/01/2022","35.95","36.50","36.56","35.41","419.51K","-0.31%"
"11/30/2022","36.06","34.80","36.62","34.30","488.19K","3.62%"
"11/29/2022","34.80","34.83","34.83","33.91","148.15K","-0.09%"
"11/28/2022","34.83","33.90","34.84","33.31","255.20K","2.74%"
"11/25/2022","33.90","34.00","34.00","33.30","105.27K","0.18%"
"11/24/2022","33.84","33.00","33.98","33.00","112.39K","2.55%"
"11/23/2022","33.00","32.60","33.27","32.60","243.26K","0.86%"
"11/22/2022","32.72","32.29","32.90","31.80","163.00K","1.18%"
"11/21/2022","32.34","33.25","33.25","32.32","132.09K","-2.18%"
"11/18/2022","33.06","32.72","33.65","31.72","316.09K","1.41%"
"11/17/2022","32.60","33.70","33.87","32.23","292.65K","-3.24%"
"11/16/2022","33.69","33.75","34.02","33.00","403.70K","-2.01%"
"11/15/2022","34.38","34.65","34.76","33.19","394.46K","-0.06%"
"11/14/2022","34.40","34.19","35.20","34.00","410.14K","1.53%"
"11/10/2022","33.88","33.00","34.22","32.45","403.70K","0.83%"
"11/09/2022","33.60","32.71","33.90","32.43","538.17K","2.72%"
"11/08/2022","32.71","32.15","32.98","31.26","317.73K","1.65%"
"11/07/2022","32.18","29.60","32.56","29.50","744.28K","7.99%"
"11/04/2022","29.80","29.10","29.80","28.32","609.19K","2.41%"
"11/03/2022","29.10","28.79","29.78","28.71","385.49K","-1.29%"
"11/02/2022","29.48","29.40","29.84","28.88","450.19K","0.27%"
"10/31/2022","29.40","29.20","29.46","28.40","242.31K","1.03%"
"10/28/2022","29.10","28.60","29.31","28.18","186.00K","0.38%"
"10/27/2022","28.99","28.50","29.00","28.00","161.63K","1.79%"
"10/26/2022","28.48","27.40","28.48","27.18","289.79K","4.90%"
"10/25/2022","27.15","27.10","27.80","26.96","210.91K","0.37%"
"10/24/2022","27.05","26.99","27.18","26.20","183.96K","2.62%"
"10/21/2022","26.36","26.89","27.30","25.90","233.32K","-2.01%"
"10/20/2022","26.90","26.18","27.01","25.68","234.04K","2.67%"
"10/19/2022","26.20","26.10","26.29","25.51","238.95K","0.77%"
"10/18/2022","26.00","25.55","26.48","25.48","314.97K","3.26%"
"10/17/2022","25.18","24.63","25.27","24.24","122.00K","1.53%"
"10/14/2022","24.80","25.12","25.54","24.64","241.54K","1.56%"
"10/13/2022","24.42","23.50","24.42","23.32","192.68K","3.39%"
"10/12/2022","23.62","23.94","23.98","23.30","95.69K","-0.76%"
"10/11/2022","23.80","23.40","23.99","22.95","149.98K","1.10%"
"10/10/2022","23.54","23.50","23.86","23.12","117.73K","-0.72%"
"10/07/2022","23.71","24.06","24.17","23.60","134.19K","-2.02%"
"10/06/2022","24.20","23.67","24.46","23.67","164.14K","3.33%"
"10/05/2022","23.42","24.90","24.90","23.36","165.91K","-4.80%"
"10/04/2022","24.60","23.98","24.60","23.90","149.28K","5.35%"
"10/03/2022","23.35","23.05","23.48","22.00","195.19K","0.99%"
"09/30/2022","23.12","23.69","23.99","22.55","587.54K","-2.41%"
"09/29/2022","23.69","24.74","25.00","23.65","335.62K","-4.24%"
"09/28/2022","24.74","25.00","25.19","24.10","248.42K","-3.43%"
"09/27/2022","25.62","24.91","25.70","24.84","259.59K","3.77%"
"09/26/2022","24.69","24.70","24.93","24.04","607.17K","-0.92%"
"09/23/2022","24.92","26.13","26.14","24.80","360.57K","-5.07%"
"09/22/2022","26.25","26.13","26.84","25.78","525.71K","-1.54%"
"09/21/2022","26.66","27.06","27.10","26.23","690.14K","-2.09%"
"09/20/2022","27.23","28.50","28.98","27.01","306.91K","-3.64%"
"09/19/2022","28.26","27.15","28.35","26.92","203.97K","4.09%"
"09/16/2022","27.15","28.00","28.00","26.83","854.10K","-4.33%"
"09/15/2022","28.38","28.30","29.11","27.96","329.19K","-1.05%"
"09/14/2022","28.68","28.00","28.85","27.81","166.53K","0.99%"
"09/13/2022","28.40","29.40","29.72","28.22","455.72K","-2.74%"
"09/12/2022","29.20","28.74","29.20","28.16","286.18K","3.36%"
"09/09/2022","28.25","27.31","28.70","27.31","221.70K","3.94%"
"09/08/2022","27.18","26.30","27.24","26.05","338.06K","4.54%"
"09/07/2022","26.00","25.92","26.33","25.40","350.53K","-0.84%"
"09/06/2022","26.22","26.40","26.71","25.89","173.53K","-0.68%"
"09/05/2022","26.40","25.80","26.46","25.38","125.06K","0.76%"
"09/02/2022","26.20","25.50","26.23","25.18","238.64K","3.15%"
"09/01/2022","25.40","25.77","25.92","24.98","333.09K","-2.50%"
"08/31/2022","26.05","25.75","26.40","25.64","208.88K","1.32%"
"08/30/2022","25.71","25.79","26.40","25.39","355.14K","0.04%"
"08/29/2022","25.70","25.00","26.34","25.00","323.85K","-3.75%"
"08/26/2022","26.70","26.98","27.45","26.31","177.39K","-1.04%"
"08/25/2022","26.98","27.10","27.90","26.61","227.99K","-0.07%"
"08/24/2022","27.00","26.80","27.00","26.15","241.64K","0.75%"
"08/23/2022","26.80","27.30","27.82","26.80","237.84K","-2.69%"
"08/22/2022","27.54","27.72","28.07","26.80","736.22K","-1.64%"
"08/19/2022","28.00","28.23","28.50","27.70","312.93K","-1.75%"
"08/18/2022","28.50","27.75","28.50","27.06","231.29K","2.70%"
"08/17/2022","27.75","29.20","29.20","27.52","753.60K","-4.97%"
"08/16/2022","29.20","28.80","29.58","28.43","444.30K","1.88%"
"08/12/2022","28.66","28.52","29.20","28.07","318.20K","1.24%"
"08/11/2022","28.31","28.79","28.97","27.92","308.72K","-0.28%"
"08/10/2022","28.39","27.90","28.65","26.90","433.91K","1.39%"
"08/09/2022","28.00","27.10","28.27","27.00","374.27K","3.32%"
"08/08/2022","27.10","25.31","27.15","25.31","292.46K","7.41%"
"08/05/2022","25.23","26.25","26.40","25.07","296.57K","-1.91%"
"08/04/2022","25.72","25.57","26.66","24.85","443.22K","0.94%"
"08/03/2022","25.48","25.35","26.30","24.61","518.32K","2.70%"
"08/02/2022","24.81","25.00","25.89","24.78","467.35K","-1.74%"
"08/01/2022","25.25","25.05","25.78","24.95","281.77K","1.20%"
"07/29/2022","24.95","24.30","24.98","24.20","177.79K","3.53%"
