"Date","Price","Open","High","Low","Vol.","Change %"
"06/20/2022","9,010","8,920","9,320","8,920","2.09K","-0.39%"
"06/17/2022","9,045","9,300","9,360","8,930","4.89K","-1.36%"
"06/15/2022","9,170","9,500","9,635","8,940","3.85K","-4.92%"
"06/14/2022","9,645","9,810","9,995","9,590","1.80K","-0.77%"
"06/13/2022","9,720","9,800","10,120","9,635","2.44K","-2.31%"
"06/10/2022","9,950","10,250","10,310","9,950","1.74K","-3.21%"
"06/09/2022","10,280","10,210","10,600","10,110","2.87K","-0.29%"
"06/08/2022","10,310","10,300","10,420","10,240","2.59K","-0.19%"
"06/07/2022","10,330","10,220","10,430","10,180","1.64K","0.00%"
"06/06/2022","10,330","10,350","10,430","10,100","0.91K","0.78%"
"06/03/2022","10,250","10,570","10,570","10,120","1.06K","-2.47%"
"06/02/2022","10,510","10,400","10,570","10,270","1.06K","1.35%"
"06/01/2022","10,370","10,390","10,590","10,200","1.89K","1.07%"
"05/31/2022","10,260","10,370","10,480","10,150","5.57K","-1.06%"
"05/30/2022","10,370","10,130","10,420","10,020","1.02K","4.27%"
"05/27/2022","9,945","10,000","10,150","9,870","0.80K","-1.92%"
"05/26/2022","10,140","10,060","10,230","9,845","1.34K","1.86%"
"05/25/2022","9,955","10,340","10,420","9,920","1.34K","-2.69%"
"05/24/2022","10,230","10,260","10,420","10,100","1.65K","-1.16%"
"05/23/2022","10,350","10,490","10,650","10,260","3.11K","1.47%"
"05/20/2022","10,200","10,050","10,510","10,050","3.00K","3.13%"
"05/19/2022","9,890","10,350","10,370","9,825","2.87K","-6.70%"
"05/18/2022","10,600","10,470","11,000","10,470","4.82K","1.44%"
"05/17/2022","10,450","10,170","10,650","9,960","2.75K","5.13%"
"05/16/2022","9,940","9,800","10,360","9,700","3.47K","0.91%"
"05/13/2022","9,850","9,380","10,150","9,380","5.19K","7.53%"
"05/12/2022","9,160","8,930","9,335","8,805","4.10K","0.55%"
"05/11/2022","9,110","8,695","9,360","8,695","3.56K","4.95%"
"05/10/2022","8,680","8,600","8,900","8,580","5.65K","0.35%"
"05/09/2022","8,650","8,500","8,735","8,435","2.66K","0.64%"
"05/06/2022","8,595","8,600","9,130","8,310","6.13K","-0.64%"
"05/05/2022","8,650","9,115","9,300","8,620","7.05K","-2.64%"
"05/04/2022","8,885","9,460","9,460","8,830","4.93K","-4.87%"
"05/02/2022","9,340","9,465","9,465","9,100","2.46K","-0.69%"
"04/29/2022","9,405","9,890","10,140","9,340","4.23K","-4.32%"
"04/28/2022","9,830","9,970","10,050","9,665","2.44K","1.34%"
