"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2018","142.90","149.50","151.30","141.40","321.11K","-5.36%"
"10/25/2018","151.00","138.00","151.10","135.00","632.96K","5.37%"
"10/24/2018","143.30","144.80","150.00","143.30","285.48K","-0.69%"
"10/23/2018","144.30","154.60","154.60","142.20","901.33K","-8.09%"
"10/22/2018","157.00","159.00","159.00","155.00","130.45K","0.00%"
"10/19/2018","157.00","158.00","159.60","153.20","250.09K","1.29%"
"10/18/2018","155.00","165.10","165.10","154.20","489.19K","-5.78%"
"10/17/2018","164.50","167.00","168.80","161.40","278.91K","-0.30%"
"10/16/2018","165.00","159.50","165.00","158.60","227.01K","4.04%"
"10/15/2018","158.60","166.90","167.00","156.70","218.03K","-2.70%"
"10/12/2018","163.00","155.80","163.20","154.50","452.72K","7.24%"
"10/11/2018","152.00","149.70","154.50","146.70","655.50K","-2.25%"
"10/10/2018","155.50","165.20","166.00","149.50","583.28K","-5.18%"
"10/09/2018","164.00","162.10","166.90","156.80","572.00K","0.55%"
"10/08/2018","163.10","180.10","180.10","163.10","525.81K","-10.53%"
"10/05/2018","182.30","181.50","184.50","175.00","323.38K","1.11%"
"10/04/2018","180.30","192.00","193.20","180.10","313.23K","-6.58%"
"10/03/2018","193.00","190.20","194.40","188.60","234.81K","1.58%"
"10/02/2018","190.00","190.70","191.50","186.50","170.68K","-1.50%"
"10/01/2018","192.90","188.90","192.90","187.30","147.35K","2.99%"
"09/28/2018","187.30","194.00","194.90","184.80","253.95K","-2.65%"
"09/27/2018","192.40","186.40","192.50","185.10","254.22K","2.83%"
"09/26/2018","187.10","188.20","188.20","184.10","114.83K","0.16%"
"09/25/2018","186.80","187.40","188.00","183.50","153.71K","-0.32%"
"09/24/2018","187.40","196.20","197.80","184.00","257.13K","-3.25%"
"09/21/2018","193.70","191.00","199.70","190.00","1.93M","2.11%"
"09/20/2018","189.70","192.00","192.40","187.00","361.49K","-0.11%"
"09/19/2018","189.90","192.00","195.40","189.60","251.09K","0.21%"
"09/18/2018","189.50","181.60","191.40","180.30","285.48K","4.58%"
"09/17/2018","181.20","182.00","185.00","180.20","140.71K","-0.44%"
"09/14/2018","182.00","182.40","183.40","179.10","138.13K","1.00%"
"09/13/2018","180.20","178.00","182.80","177.10","183.38K","1.12%"
"09/12/2018","178.20","184.80","186.00","177.30","257.79K","-2.41%"
"09/11/2018","182.60","182.90","187.10","180.30","274.84K","1.61%"
"09/10/2018","179.70","171.00","181.00","167.80","383.80K","3.57%"
"09/07/2018","173.50","184.00","189.10","173.00","478.07K","-4.88%"
"09/06/2018","182.40","182.60","188.60","181.00","357.13K","-1.25%"
"09/05/2018","184.70","194.00","196.00","183.90","385.81K","-5.04%"
"09/04/2018","194.50","203.00","203.80","193.00","306.21K","-3.62%"
"09/03/2018","201.80","206.40","208.80","197.90","248.86K","-2.04%"
"08/31/2018","206.00","208.80","209.00","203.40","304.10K","-2.09%"
"08/30/2018","210.40","219.40","219.40","210.40","275.92K","-4.28%"
"08/29/2018","219.80","217.20","220.00","217.00","181.50K","0.27%"
"08/28/2018","219.20","220.00","222.40","216.00","429.14K","3.40%"
"08/27/2018","212.00","207.20","214.00","207.20","231.62K","2.71%"
"08/24/2018","206.40","210.00","210.00","204.60","119.22K","-1.24%"
"08/23/2018","209.00","207.20","209.20","203.80","112.98K","1.36%"
"08/22/2018","206.20","210.40","211.80","205.00","169.56K","-3.19%"
"08/21/2018","213.00","212.00","214.60","210.20","151.21K","1.43%"
"08/20/2018","210.00","205.20","211.00","203.40","108.75K","3.35%"
"08/17/2018","203.20","208.00","209.00","203.20","150.48K","-1.65%"
"08/16/2018","206.60","209.20","212.20","206.40","164.20K","-3.00%"
"08/14/2018","213.00","212.00","214.80","206.20","157.39K","1.14%"
"08/13/2018","210.60","201.00","211.60","199.30","215.40K","3.74%"
"08/10/2018","203.00","212.60","214.00","203.00","196.61K","-5.32%"
"08/09/2018","214.40","214.80","214.80","210.00","109.36K","-0.19%"
"08/08/2018","214.80","208.00","215.20","206.80","338.29K","4.47%"
"08/07/2018","205.60","200.20","207.20","199.50","182.15K","3.47%"
"08/06/2018","198.70","199.80","201.00","197.30","63.92K","0.86%"
"08/03/2018","197.00","197.30","203.20","197.00","155.48K","0.82%"
"08/02/2018","195.40","203.20","204.80","195.40","184.11K","-4.68%"
"08/01/2018","205.00","194.80","205.20","185.20","415.02K","3.80%"
"07/31/2018","197.50","214.40","214.40","195.50","533.93K","-7.97%"
"07/30/2018","214.60","217.00","221.00","213.80","230.77K","-1.38%"
"07/27/2018","217.60","215.40","218.00","211.60","215.93K","1.49%"
"07/26/2018","214.40","210.80","216.60","210.20","233.86K","2.00%"
"07/25/2018","210.20","207.40","212.00","206.00","200.30K","1.06%"
"07/24/2018","208.00","206.00","208.80","205.20","206.53K","2.16%"
"07/23/2018","203.60","207.00","208.40","202.80","168.04K","-0.49%"
"07/20/2018","204.60","199.00","205.40","197.10","268.28K","0.79%"
"07/19/2018","203.00","209.60","209.60","192.70","527.99K","-3.24%"
"07/18/2018","209.80","200.80","211.20","199.50","528.16K","4.27%"
"07/17/2018","201.20","195.00","201.80","194.10","555.19K","1.93%"
"07/16/2018","197.40","193.00","197.40","190.80","334.95K","2.81%"
"07/13/2018","192.00","183.00","192.00","183.00","346.62K","3.90%"
"07/12/2018","184.80","180.50","184.80","178.50","273.13K","3.47%"
"07/11/2018","178.60","178.00","180.50","176.30","357.70K","0.34%"
"07/10/2018","178.00","177.00","188.50","176.00","541.06K","1.25%"
"07/09/2018","175.80","176.70","181.10","175.60","164.07K","-0.51%"
"07/06/2018","176.70","179.00","180.00","175.90","291.11K","-1.28%"
"07/05/2018","179.00","167.50","180.90","167.40","523.39K","7.06%"
"07/04/2018","167.20","163.00","167.60","162.50","167.91K","2.70%"
"07/03/2018","162.80","162.00","163.70","160.70","69.84K","1.06%"
