"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2020","311.00","312.50","322.00","307.50","8.78K","-0.32%"
"03/17/2020","312.00","301.00","315.00","301.00","4.87K","5.05%"
"03/16/2020","297.00","310.00","310.00","286.00","5.05K","-5.41%"
"03/13/2020","314.00","282.00","329.50","282.00","13.16K","8.28%"
"03/12/2020","290.00","336.00","336.00","290.00","7.52K","-17.14%"
"03/11/2020","350.00","350.00","353.00","321.50","10.51K","-0.57%"
"03/10/2020","352.00","340.00","356.00","336.00","5.55K","0.57%"
"03/09/2020","350.00","356.00","356.00","336.00","6.45K","-5.15%"
"03/06/2020","369.00","370.00","378.00","366.00","2.92K","-1.60%"
"03/05/2020","375.00","385.00","385.00","370.00","4.52K","-1.57%"
"03/04/2020","381.00","381.00","381.50","377.00","1.24K","0.00%"
"03/03/2020","381.00","362.00","381.50","362.00","5.84K","7.02%"
"03/02/2020","356.00","351.50","380.00","351.50","6.14K","-2.20%"
"02/28/2020","364.00","350.00","364.00","346.00","6.47K","-1.49%"
"02/27/2020","369.50","380.00","380.00","364.00","6.45K","-2.76%"
"02/26/2020","380.00","377.00","383.00","367.00","2.49K","-0.78%"
"02/25/2020","383.00","386.50","395.50","377.00","3.58K","-1.03%"
"02/24/2020","387.00","393.50","397.50","385.00","1.55K","-2.76%"
"02/21/2020","398.00","402.00","402.00","397.50","1.26K","-0.75%"
"02/20/2020","401.00","404.00","404.50","400.00","6.25K","-0.74%"
"02/19/2020","404.00","394.50","405.00","393.00","5.73K","2.41%"
"02/18/2020","394.50","400.00","400.00","391.00","1.50K","-1.25%"
"02/17/2020","399.50","400.00","400.00","398.00","0.54K","-0.13%"
"02/14/2020","400.00","403.50","403.50","397.00","3.80K","0.00%"
"02/13/2020","400.00","401.00","404.50","400.00","1.80K","0.00%"
"02/12/2020","400.00","390.00","400.00","390.00","46.39K","3.09%"
"02/11/2020","388.00","389.50","389.50","382.00","15.42K","0.65%"
"02/10/2020","385.50","386.50","394.00","382.50","1.26K","-0.52%"
"02/07/2020","387.50","398.00","398.00","387.00","25.13K","-2.39%"
"02/06/2020","397.00","393.00","401.00","392.00","36.41K","0.89%"
"02/05/2020","393.50","383.50","394.00","380.50","5.40K","2.34%"
"02/04/2020","384.50","369.50","385.00","368.50","5.66K","4.48%"
"02/03/2020","368.00","363.00","368.00","361.00","1.73K","1.66%"
"01/31/2020","362.00","352.00","362.00","352.00","22.47K","2.84%"
"01/30/2020","352.00","352.00","353.50","345.00","1.20K","-0.14%"
"01/29/2020","352.50","350.00","353.00","350.00","6.23K","1.00%"
"01/28/2020","349.00","347.00","353.00","343.00","0.69K","0.58%"
"01/27/2020","347.00","349.50","349.50","342.00","2.25K","-0.29%"
"01/24/2020","348.00","354.00","354.00","347.00","4.14K","-1.69%"
"01/23/2020","354.00","349.00","359.00","349.00","1.59K","1.43%"
"01/22/2020","349.00","346.00","349.00","345.50","29.84K","0.58%"
"01/21/2020","347.00","356.00","356.00","347.00","1.93K","-2.53%"
"01/20/2020","356.00","350.00","356.00","350.00","3.97K","1.14%"
"01/17/2020","352.00","352.00","356.00","350.00","0.92K","-0.28%"
"01/16/2020","353.00","348.00","356.00","345.00","2.52K","1.44%"
"01/15/2020","348.00","358.00","358.00","348.00","3.58K","-2.25%"
"01/14/2020","356.00","357.00","357.00","354.00","0.45K","-0.28%"
"01/13/2020","357.00","358.00","358.00","353.50","1.31K","0.00%"
"01/10/2020","357.00","354.00","358.00","354.00","6.71K","1.28%"
"01/09/2020","352.50","355.00","355.00","350.50","2.69K","-0.70%"
"01/08/2020","355.00","352.00","355.00","349.00","2.93K","1.43%"
"01/07/2020","350.00","346.00","352.00","344.00","6.94K","1.74%"
"01/03/2020","344.00","348.00","348.00","342.00","3.07K","-0.72%"
"01/02/2020","346.50","342.00","346.50","342.00","1.02K","0.14%"
"12/30/2019","346.00","342.50","346.50","340.00","4.86K","1.17%"
"12/27/2019","342.00","346.00","349.50","340.00","6.07K","-0.87%"
"12/23/2019","345.00","340.00","346.50","335.00","4.23K","1.47%"
"12/20/2019","340.00","340.50","342.00","331.00","4.92K","0.00%"
"12/19/2019","340.00","342.50","342.50","337.50","3.47K","0.00%"
"12/18/2019","340.00","341.50","342.50","337.00","2.38K","0.00%"
"12/17/2019","340.00","348.50","348.50","338.50","2.94K","-2.58%"
"12/16/2019","349.00","351.50","351.50","335.00","2.98K","-0.29%"
"12/13/2019","350.00","351.00","355.00","343.00","6.49K","-0.28%"
"12/12/2019","351.00","353.00","355.50","351.00","1.12K","-0.43%"
"12/11/2019","352.50","347.00","355.00","347.00","3.35K","1.59%"
"12/10/2019","347.00","342.00","348.00","342.00","2.76K","1.61%"
"12/09/2019","341.50","342.50","343.00","341.50","1.02K","0.00%"
"12/06/2019","341.50","339.00","343.00","338.50","2.29K","0.74%"
"12/05/2019","339.00","338.00","339.00","335.00","1.27K","0.15%"
"12/04/2019","338.50","337.00","339.00","335.50","2.40K","0.74%"
"12/03/2019","336.00","331.00","336.50","331.00","6.84K","1.36%"
"12/02/2019","331.50","317.50","333.00","317.50","6.17K","4.25%"
"11/29/2019","318.00","319.00","322.50","315.00","0.89K","0.32%"
"11/28/2019","317.00","314.00","317.50","314.00","0.85K","0.63%"
"11/27/2019","315.00","317.00","317.00","314.00","2.01K","-0.63%"
"11/26/2019","317.00","325.00","325.00","312.00","2.91K","-2.16%"
"11/25/2019","324.00","319.50","324.00","319.50","0.33K","1.41%"
"11/22/2019","319.50","327.50","328.00","318.00","0.76K","-1.99%"
"11/21/2019","326.00","326.00","327.00","322.50","6.10K","-0.15%"
"11/20/2019","326.50","326.00","327.00","324.50","2.29K","-0.76%"
"11/19/2019","329.00","321.00","329.00","320.00","3.15K","2.65%"
"11/18/2019","320.50","319.00","320.50","316.50","2.82K","0.79%"
"11/15/2019","318.00","315.00","318.00","313.00","1.56K","0.95%"
"11/14/2019","315.00","315.00","315.00","313.00","0.98K","0.96%"
"11/13/2019","312.00","312.00","314.00","310.50","7.95K","0.00%"
"11/12/2019","312.00","316.00","318.00","312.00","0.88K","-1.11%"
"11/08/2019","315.50","317.00","318.00","312.50","16.32K","-0.16%"
"11/07/2019","316.00","315.50","316.50","312.50","1.38K","0.96%"
"11/06/2019","313.00","315.50","315.50","313.00","0.57K","-0.16%"
"11/05/2019","313.50","318.00","318.00","312.00","0.91K","-1.42%"
"11/04/2019","318.00","307.00","318.50","307.00","2.84K","3.58%"
"10/31/2019","307.00","301.50","307.00","301.50","0.60K","2.33%"
"10/30/2019","300.00","310.00","310.00","296.00","3.54K","-2.60%"
"10/29/2019","308.00","312.00","312.00","304.00","5.03K","-1.60%"
"10/28/2019","313.00","313.00","313.00","309.50","5.31K","0.00%"
"10/25/2019","313.00","314.00","316.00","310.00","1.67K","0.16%"
"10/24/2019","312.50","302.50","312.50","302.50","2.44K","3.48%"
"10/23/2019","302.00","289.00","303.50","289.00","1.52K","4.68%"
"10/22/2019","288.50","288.50","288.50","285.00","0.43K","0.87%"
"10/21/2019","286.00","285.00","286.00","284.50","0.55K","0.53%"
"10/18/2019","284.50","285.00","285.00","282.50","0.30K","0.53%"
"10/17/2019","283.00","283.50","283.50","282.00","0.49K","0.18%"
"10/16/2019","282.50","283.00","283.00","280.00","0.16K","0.71%"
"10/15/2019","280.50","283.50","283.50","279.50","0.20K","-0.88%"
"10/14/2019","283.00","283.00","283.00","279.00","0.76K","-0.18%"
"10/11/2019","283.50","283.00","285.00","280.00","2.19K","1.25%"
"10/10/2019","280.00","283.00","283.00","279.00","0.26K","0.00%"
"10/09/2019","280.00","279.00","283.00","279.00","0.62K","0.36%"
"10/08/2019","279.00","285.00","285.00","279.00","2.11K","-1.41%"
"10/07/2019","283.00","283.00","283.50","282.00","0.94K","0.00%"
"10/04/2019","283.00","287.50","289.00","283.00","3.75K","-1.57%"
"10/03/2019","287.50","291.00","291.00","281.50","2.87K","-0.35%"
"10/02/2019","288.50","296.00","296.00","279.50","4.27K","-1.87%"
"10/01/2019","294.00","299.00","299.00","294.00","2.36K","-1.01%"
"09/30/2019","297.00","305.00","305.00","297.00","0.57K","-1.66%"
"09/27/2019","302.00","302.00","306.00","300.00","3.12K","0.17%"
"09/26/2019","301.50","300.00","303.50","298.00","1.43K","0.50%"
"09/25/2019","300.00","299.00","307.00","296.50","2.20K","1.18%"
"09/24/2019","296.50","296.00","298.00","294.00","0.73K","0.85%"
"09/23/2019","294.00","295.50","297.50","287.00","1.32K","-1.67%"
"09/20/2019","299.00","299.00","299.00","285.00","12.37K","0.00%"
"09/19/2019","299.00","300.00","300.00","296.00","2.26K","-0.33%"
"09/18/2019","300.00","302.00","302.00","298.00","2.70K","0.00%"
"09/17/2019","300.00","301.00","302.50","298.50","2.88K","-0.33%"
"09/16/2019","301.00","300.00","302.00","299.00","3.46K","0.33%"
"09/13/2019","300.00","301.00","305.00","299.00","2.98K","-0.83%"
"09/12/2019","302.50","320.50","320.50","302.50","3.13K","-3.82%"
